,total_citation,hindex,Years active,No_of_publication
Alexandra Martynova-Van Kley,1668.0,12.0,55.0,21.0
André M. Beauchemin,1680.0,25.0,18.0,49.0
Ashley Elias,0.0,0.0,0.0,1.0
BARRY G. ROBINSON,98.0,4.0,4.0,5.0
BRIAN BECKAGE ,2870.0,29.0,22.0,62.0
Brian R. Umberger,1627.0,20.0,24.0,76.0
Carlos Velazquez-Martinez,507.0,13.0,8.0,24.0
Caroline (Lina) Lund Dahlberg,324.0,7.0,18.0,12.0
Charles E. Jakobsche,493.0,8.0,16.0,21.0
CHRISTOPHER LEONARD BRETT,1987.0,20.0,50.0,42.0
Clément Pierre Bataille,484.0,9.0,6.0,30.0
Danielle H. Dube,3083.0,22.0,36.0,75.0
DENIS A. LAROCHELLE,700.0,12.0,37.0,38.0
DENNIS A. GRAVATT,0.0,0.0,0.0,1.0
Dior R. Kelley,1199.0,17.0,65.0,49.0
Glenn Christopher Micalizio,2156.0,30.0,19.0,92.0
Heidi J Gill Super,3288.0,25.0,28.0,86.0
Henry S. White,9248.0,54.0,58.0,238.0
Ivan Julian Dmochowski,3615.0,38.0,22.0,174.0
"James Wallace Herndon, Jr.",3012.0,32.0,39.0,185.0
JASON N. BRUCK,76.0,3.0,10.0,4.0
John M. Schmitt,655.0,12.0,45.0,51.0
JOSEPH PETER MONTOYA,8224.0,47.0,26.0,96.0
Karin S. Åkerfeldt,1251.0,15.0,42.0,57.0
Kimberley A. Frederick,280.0,10.0,30.0,39.0
Kimberly L. Mowry,2403.0,24.0,39.0,47.0
KRIJN DE JONG,241.0,7.0,49.0,8.0
Liliya A. Yatsunyk,2444.0,28.0,23.0,77.0
Lindsay M. Porter,280.0,11.0,21.0,20.0
Maria Ngu-Schwemlein,422.0,9.0,28.0,45.0
Nathan J Sanders,162.0,4.0,100.0,21.0
Peter B. Dervan,29703.0,89.0,25.0,419.0
ROBERT HOWARD GRUBBS,4905.0,40.0,51.0,445.0
Rudolph A. Abramovitch,5849.0,38.0,50.0,256.0
Sabrina Rose Leslie,291.0,10.0,13.0,31.0
Sandra Russo-Rodriguez,0.0,0.0,30.0,2.0
Sonya L. Caston Good,9.0,1.0,34.0,2.0
STEPHANIE J.B. FRETHAM,639.0,12.0,10.0,13.0
Tehshik Peter Yoon,5668.0,13.0,19.0,80.0
WILLIAM A. DONALDSON,2362.0,22.0,44.0,158.0
William Esco Moerner,2490.0,27.0,13.0,208.0
WILLIAM F. WACHOLTZ,756.0,12.0,30.0,36.0
